Volumen,Volumen_titulo,Parte,Parte_titulo,Seccion,Seccion_titulo,Tipo,N_capitulo,Titulo,Autores,N_autores,Pagina,Region,Tema,Periodo,Macro_region,Eje_Brasil,Escala_geografica,Macro_tema,Enfoque_disciplinar,Eje_alteridad,Tipo_alteridad,Formato_texto,Siglo_foco,Periodo_ordinal,N_autores_grupo,Ambito_ling_prob
1,Configurations of Literary Culture,2,From the Margins of Literary History,2,Gender and Sexual Orientation in the Historical Formation of the Cultural Imaginary,Capitulo,31,Women Writers during the Viceroyalty,Josefina Muriel,1,279,Hispanoamerica,Genero/Mujeres,Colonial,Hispanoamerica (transnac.),Hispanoamerica,Pan-latinoamericano,Genero y sexualidad,Critica e historia literaria,Si,Genero y sexualidad,Caso de estudio,Colonial,2,Individual,Espanol (prob.)
1,Configurations of Literary Culture,2,From the Margins of Literary History,2,Gender and Sexual Orientation in the Historical Formation of the Cultural Imaginary,Capitulo,32,Saints or Sinners? Life Writings and Colonial Latin American Women,Kathleen Ann Myers,1,289,Pan-latinoamericana,Genero/Mujeres,Colonial,Pan-latinoamericano,Transversal,Pan-latinoamericano,Genero y sexualidad,Critica e historia literaria,Si,Genero y sexualidad,Caso de estudio,Colonial,2,Individual,Espanol (prob.)
1,Configurations of Literary Culture,2,From the Margins of Literary History,2,Gender and Sexual Orientation in the Historical Formation of the Cultural Imaginary,Capitulo,33,Mystics and Visionaries: Women's Writing in Eighteenth-Century Portuguese America,Leila Mezan Algranti,1,303,Brasil,Genero/Mujeres,Colonial,Brasil,Brasil,Nacional,Genero y sexualidad,Critica e historia literaria,Si,Genero y sexualidad,Caso de estudio,Colonial,2,Individual,Portugues (prob.)
1,Configurations of Literary Culture,2,From the Margins of Literary History,2,Gender and Sexual Orientation in the Historical Formation of the Cultural Imaginary,Capitulo,34,Exclusions in Latin American Literary History,Debra A. Castillo,1,307,Pan-latinoamericana,Genero/Mujeres,Multiple,Pan-latinoamericano,Transversal,Pan-latinoamericano,Genero y sexualidad,Critica e historia literaria,Si,Genero y sexualidad,Caso de estudio,Transversal,,Individual,Espanol (prob.)
1,Configurations of Literary Culture,2,From the Margins of Literary History,2,Gender and Sexual Orientation in the Historical Formation of the Cultural Imaginary,Capitulo,35,Women Writing in Nontraditional Genres,María Elena de Valdés,1,315,Pan-latinoamericana,Genero/Mujeres,s.XX,Pan-latinoamericano,Transversal,Pan-latinoamericano,Genero y sexualidad,Critica e historia literaria,Si,Genero y sexualidad,Caso de estudio,Siglo XX,4,Individual,Espanol (prob.)
1,Configurations of Literary Culture,2,From the Margins of Literary History,2,Gender and Sexual Orientation in the Historical Formation of the Cultural Imaginary,Capitulo,36,Brazilian Women: Literature from the Nineteenth to the Twentieth Centuries,Lúcia Helena; Sylvia Oroz; Sylvia Paixão,3,328,Brasil,Genero/Mujeres,s.XIX-XX,Brasil,Brasil,Nacional,Genero y sexualidad,Critica e historia literaria,Si,Genero y sexualidad,Caso de estudio,Siglos XIX-XX,3.5,Coautoria (2-3),Portugues (prob.)
1,Configurations of Literary Culture,2,From the Margins of Literary History,2,Gender and Sexual Orientation in the Historical Formation of the Cultural Imaginary,Capitulo,37,Constructing the Place of Woman in Brazil's Northeastern Region,Luzila Gonçalves Ferreira,1,338,Brasil,Genero/Mujeres,Multiple,Brasil,Brasil,Nacional,Genero y sexualidad,Critica e historia literaria,Si,Genero y sexualidad,Caso de estudio,Transversal,,Individual,Portugues (prob.)
1,Configurations of Literary Culture,2,From the Margins of Literary History,2,Gender and Sexual Orientation in the Historical Formation of the Cultural Imaginary,Capitulo,38,Writing against the Grain: An Overview of Twentieth-Century Lesbian Literature in Latin America,Elena M. Martínez,1,341,Pan-latinoamericana,Genero/Sexualidad,s.XX,Pan-latinoamericano,Transversal,Pan-latinoamericano,Genero y sexualidad,Critica e historia literaria,Si,Genero y sexualidad,Panoramico / sintesis,Siglo XX,4,Individual,Espanol (prob.)
1,Configurations of Literary Culture,2,From the Margins of Literary History,2,Gender and Sexual Orientation in the Historical Formation of the Cultural Imaginary,Capitulo,39,Secrets and Truths,Daniel Balderston,1,349,Pan-latinoamericana,Genero/Sexualidad,s.XX,Pan-latinoamericano,Transversal,Pan-latinoamericano,Genero y sexualidad,Critica e historia literaria,Si,Genero y sexualidad,Caso de estudio,Siglo XX,4,Individual,Espanol (prob.)
1,Configurations of Literary Culture,2,From the Margins of Literary History,2,Gender and Sexual Orientation in the Historical Formation of the Cultural Imaginary,Capitulo,40,Notes toward a History of Homotextuality in Brazilian Literature,Denilson Lopes,1,356,Brasil,Genero/Sexualidad,s.XX,Brasil,Brasil,Nacional,Genero y sexualidad,Critica e historia literaria,Si,Genero y sexualidad,Panoramico / sintesis,Siglo XX,4,Individual,Portugues (prob.)
1,Configurations of Literary Culture,3,Plurality of Discourse in Latin American Culture,1,"Political, Scientific, and Religious Discourses",Introduccion,,Introduction,Eneida Maria de Souza; Raúl Antelo,2,367,Pan-latinoamericana,Discurso politico/religioso,N/A,Pan-latinoamericano,Transversal,Pan-latinoamericano,Discurso religioso y cientifico,Historia intelectual,No,Ninguno,Panoramico / sintesis,N/A,,Coautoria (2-3),Espanol (prob.)
1,Configurations of Literary Culture,3,Plurality of Discourse in Latin American Culture,1,"Political, Scientific, and Religious Discourses",Capitulo,41,The Rhetoric of Latin American Nationalism from the Colonial Period to Independence,Silvia Delfino,1,370,Pan-latinoamericana,Nacionalismo/Identidad,Colonial/Independencia,Pan-latinoamericano,Transversal,Pan-latinoamericano,"Nacion, modernidad y transculturacion",Critica e historia literaria,No,Ninguno,Caso de estudio,Colonial,2,Individual,Espanol (prob.)
1,Configurations of Literary Culture,3,Plurality of Discourse in Latin American Culture,1,"Political, Scientific, and Religious Discourses",Capitulo,42,The Rhetoric of Citizenship in Modernity,Adriana Rodríguez Pérsico,1,384,Pan-latinoamericana,Ciudadania/Modernidad,s.XIX-XX,Pan-latinoamericano,Transversal,Pan-latinoamericano,"Nacion, modernidad y transculturacion",Critica e historia literaria,No,Ninguno,Caso de estudio,Siglos XIX-XX,3.5,Individual,Espanol (prob.)
1,Configurations of Literary Culture,3,Plurality of Discourse in Latin American Culture,1,"Political, Scientific, and Religious Discourses",Capitulo,43,The Struggle Over the Printed Word: The Catholic Church in Brazil and Social Discourse,Aparecida Paiva,1,401,Brasil,Discurso religioso,Multiple,Brasil,Brasil,Nacional,Discurso religioso y cientifico,Historia intelectual,No,Ninguno,Caso de estudio,Transversal,,Individual,Portugues (prob.)
1,Configurations of Literary Culture,3,Plurality of Discourse in Latin American Culture,1,"Political, Scientific, and Religious Discourses",Capitulo,44,Scientific Discourse in Brazil and Intellectual Exchange,Rachel Esteves Lima,1,410,Brasil,Discurso cientifico,Multiple,Brasil,Brasil,Nacional,Discurso religioso y cientifico,Historia intelectual,No,Ninguno,Caso de estudio,Transversal,,Individual,Portugues (prob.)
1,Configurations of Literary Culture,3,Plurality of Discourse in Latin American Culture,1,"Political, Scientific, and Religious Discourses",Capitulo,45,Bio-Policies Undergoing Transformation: Bodies and Ideas of American Identity,Claudia Gilman,1,418,Pan-latinoamericana,Cuerpo/Identidad,s.XX,Pan-latinoamericano,Transversal,Pan-latinoamericano,"Nacion, modernidad y transculturacion",Critica e historia literaria,No,Ninguno,Caso de estudio,Siglo XX,4,Individual,Espanol (prob.)
1,Configurations of Literary Culture,3,Plurality of Discourse in Latin American Culture,2,Orality and Literature,Introduccion,,Introduction,Eugenia Meyer,1,431,Pan-latinoamericana,Oralidad,N/A,Pan-latinoamericano,Transversal,Pan-latinoamericano,"Oralidad, cultura popular y medios",Antropologia cultural / est. culturales,No,Ninguno,Panoramico / sintesis,N/A,,Individual,Espanol (prob.)
1,Configurations of Literary Culture,3,Plurality of Discourse in Latin American Culture,2,Orality and Literature,Capitulo,46,The History of Oral Literature in Mexico,Leonardo Manrique Castañeda,1,436,Mexico,Oralidad,Multiple,Mexico,Hispanoamerica,Nacional,"Oralidad, cultura popular y medios",Antropologia cultural / est. culturales,No,Ninguno,Panoramico / sintesis,Transversal,,Individual,Espanol (prob.)
1,Configurations of Literary Culture,3,Plurality of Discourse in Latin American Culture,2,Orality and Literature,Capitulo,47,African Orality in the Literary Culture of the Caribbean,Luz María Martínez Montiel,1,460,Caribe,Oralidad/Afrodescendiente,Multiple,Caribe,Hispanoamerica,Subregional,Afrodescendencia,Critica e historia literaria,Si,Etnico-racial (afro),Caso de estudio,Transversal,,Individual,Espanol (prob.)
1,Configurations of Literary Culture,3,Plurality of Discourse in Latin American Culture,2,Orality and Literature,Capitulo,48,Orality and Literature in the Peruvian Andean Zone,José Antonio Giménez Micó,1,471,Andes,Oralidad,Multiple,Andes,Hispanoamerica,Subregional,"Oralidad, cultura popular y medios",Antropologia cultural / est. culturales,No,Ninguno,Caso de estudio,Transversal,,Individual,Espanol (prob.)
1,Configurations of Literary Culture,3,Plurality of Discourse in Latin American Culture,2,Orality and Literature,Capitulo,49,"Argentina, Chile, and Uruguay: A History of Literary Orality",Eva Grosser Lerner; Eduardo Lucio Molina y Vedia,2,483,Cono Sur,Oralidad,Multiple,Cono Sur,Hispanoamerica,Subregional,"Oralidad, cultura popular y medios",Antropologia cultural / est. culturales,No,Ninguno,Panoramico / sintesis,Transversal,,Coautoria (2-3),Espanol (prob.)
1,Configurations of Literary Culture,3,Plurality of Discourse in Latin American Culture,2,Orality and Literature,Capitulo,50,Oral Literature in Brazil,Jerusa Pires Ferreira,1,496,Brasil,Oralidad,Multiple,Brasil,Brasil,Nacional,"Oralidad, cultura popular y medios",Antropologia cultural / est. culturales,No,Ninguno,Caso de estudio,Transversal,,Individual,Portugues (prob.)
1,Configurations of Literary Culture,3,Plurality of Discourse in Latin American Culture,2,Orality and Literature,Capitulo,51,Textuality and Territoriality in Brazilian Oral Discourse,Ivete Lara Camargos Walty,1,504,Brasil,Oralidad,Multiple,Brasil,Brasil,Nacional,"Oralidad, cultura popular y medios",Antropologia cultural / est. culturales,No,Ninguno,Caso de estudio,Transversal,,Individual,Portugues (prob.)
1,Configurations of Literary Culture,3,Plurality of Discourse in Latin American Culture,3,The Multiplicity and Diversity of Discourses and Theatricalities,Introduccion,,Introduction,Juan Villegas,1,513,Pan-latinoamericana,Teatro,N/A,Pan-latinoamericano,Transversal,Pan-latinoamericano,Teatro y artes escenicas,Artes escenicas,No,Ninguno,Panoramico / sintesis,N/A,,Individual,Espanol (prob.)
1,Configurations of Literary Culture,3,Plurality of Discourse in Latin American Culture,3,The Multiplicity and Diversity of Discourses and Theatricalities,Capitulo,52,The Theater in Pre-Hispanic America,Juan Villegas,1,515,Pan-latinoamericana,Teatro,Prehispanico,Pan-latinoamericano,Transversal,Pan-latinoamericano,Teatro y artes escenicas,Artes escenicas,No,Ninguno,Caso de estudio,Prehispanico,1,Individual,Espanol (prob.)
1,Configurations of Literary Culture,3,Plurality of Discourse in Latin American Culture,3,The Multiplicity and Diversity of Discourses and Theatricalities,Capitulo,53,Contemporary Mayan Theater,Tamara Underiner,1,525,Centroamerica,Teatro,Contemporaneo,Centroamerica,Hispanoamerica,Subregional,Teatro y artes escenicas,Artes escenicas,No,Ninguno,Caso de estudio,Siglo XX,4,Individual,Espanol (prob.)
1,Configurations of Literary Culture,3,Plurality of Discourse in Latin American Culture,3,The Multiplicity and Diversity of Discourses and Theatricalities,Capitulo,54,Plurality and Diversity of Theater Discourse,Juan Villegas,1,532,Pan-latinoamericana,Teatro,Multiple,Pan-latinoamericano,Transversal,Pan-latinoamericano,Teatro y artes escenicas,Artes escenicas,No,Ninguno,Caso de estudio,Transversal,,Individual,Espanol (prob.)
1,Configurations of Literary Culture,3,Plurality of Discourse in Latin American Culture,3,The Multiplicity and Diversity of Discourses and Theatricalities,Capitulo,55,Afro-Latin American Theater,Juan Villegas,1,548,Pan-latinoamericana,Teatro/Afrodescendiente,Multiple,Pan-latinoamericano,Transversal,Pan-latinoamericano,Afrodescendencia,Critica e historia literaria,Si,Etnico-racial (afro),Caso de estudio,Transversal,,Individual,Espanol (prob.)
1,Configurations of Literary Culture,3,Plurality of Discourse in Latin American Culture,3,The Multiplicity and Diversity of Discourses and Theatricalities,Capitulo,56,Theatrical Forms and Their Social Dimensions in Nineteenth-Century Brazil,João Roberto Faria,1,555,Brasil,Teatro,s.XIX,Brasil,Brasil,Nacional,Teatro y artes escenicas,Artes escenicas,No,Ninguno,Caso de estudio,Siglo XIX,3,Individual,Portugues (prob.)
1,Configurations of Literary Culture,3,Plurality of Discourse in Latin American Culture,3,The Multiplicity and Diversity of Discourses and Theatricalities,Capitulo,57,Dramaturgies and Theatricalities: Aspects of the Twentieth-Century Brazilian Literary Scene,Maria Helena Werneck; Victor Hugo Adler Pereira,2,562,Brasil,Teatro,s.XX,Brasil,Brasil,Nacional,Teatro y artes escenicas,Artes escenicas,No,Ninguno,Caso de estudio,Siglo XX,4,Coautoria (2-3),Portugues (prob.)
